ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Judges 7:7,Judges,7,7,0,none,different_from_both,"And the Lord said to Gideon, By the three hundred men who lapped I will save you and deliver Midian into your hand, and let all the people turn back, each man to his place.","And the LORD said unto Gideon, By the three hundred men that lapped will I save you, and deliver the Midianites into yours hand: and let all the other people go every man unto his place.","And the Lord said to Gedeon, I will save you by the three hundred men that lapped, and I will give Madiam into thy hand; and all the rest of the people shall go every one to his place.",0.869,0.718
Leviticus 25:24,Leviticus,25,24,0,none,different_from_both,And through all the land of your possession you shall give redemption for the land.,And in all the land of your possession all of you shall grant a redemption for the land.,"And in every land of your possession, ye shall allow ransoms for the land.",0.852,0.701
Leviticus 22:8,Leviticus,22,8,0,none,different_from_both,"What dies of itself or is torn by beasts he shall not eat, to be defiled by them. I am the Lord.","That which dies of itself, or is torn with beasts, he shall not eat to defile himself therewith; I am the LORD.","He shall not eat that which dies of itself, or is taken of beasts, so that he should be polluted by them: I am the Lord.",0.830,0.679
2 Chronicles 13:2,2 Chronicles,13,2,0,none,different_from_both,"He reigned three years in Jerusalem, and name of his mother was Maachah daughter of Uriel from Gibeon. And there was war between Abijah and Jeroboam.",He reigned three years in Jerusalem. His mother's name also was Michaiah the daughter of Uriel of Gibeah. And there was war between Abijah and Jeroboam.,"He reigned three years in Jerusalem. And his mother's name was Maacha, daughter of Uriel of Gabaon.",0.864,0.714
Ezekiel 48:7,Ezekiel,48,7,0,none,different_from_both,"And beside border of Reuben, from east side to west side, Judah, one portion.","And by the border of Reuben, from the east side unto the west side, a portion for Judah.","And from the borders of Ruben, from the eastern parts as far as the west coasts, for Juda, one.",0.772,0.622
Numbers 7:7,Numbers,7,7,0,none,different_from_both,The two wagons and the four oxen he gave to the sons of Gershon according to their services.,"Two wagons and four oxen he gave unto the sons of Gershon, according to their service:","And he gave two waggons and four oxen to the sons of Gedson, according to their ministrations.",0.937,0.787
Ezra 10:21,Ezra,10,21,0,none,different_from_both,And from sons of Harim: Maaseiah and Eliah and Shemaiah and Jehiel and Uzziah.,"And of the sons of Harim; Maaseiah, and Elijah, and Shemaiah, and Jehiel, and Uzziah.","And of the sons of Eram; Masael, and Elia, and Samaia, and Jeel, and Ozia.",0.942,0.792
1 Chronicles 1:40,1 Chronicles,1,40,0,none,different_from_both,"Sons of Shobal: Alian, Manahath, Ebal, Shephi, and Onam. And sons of Zibeon: Aiah and Anah.","The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. and the sons of Zibeon; Aiah, and Anah.","The sons of Sobal; Alon, Machanath, Tæbel, Sophi, and Onan: and the sons of Sebegon; Æth, and Sonan.",0.912,0.763
1 Chronicles 8:32,1 Chronicles,8,32,0,none,different_from_both,"And Mikloth begot Shema, and these also dwelt opposite their brothers in Jerusalem with their brothers.","And Mikloth brings forth Shimeah. And these also dwelt with their brethren in Jerusalem, opposite to them.",And Makeloth begot Samaa: for these dwelt in Jerusalem in the presence of their brethren with their brethren.,0.755,0.606
Ezra 7:2,Ezra,7,2,0,none,different_from_both,"son of Shallum, son of Zadok, son of Ahitub,","The son of Shallum, the son of Zadok, the son of Ahitub,","the son of Selum, the son of Sadduc, the son of Achitob,",0.872,0.723
Judges 17:12,Judges,17,12,0,none,different_from_both,"And Micah filled the hand of the Levite, and the young man became his priest and was in the house of Micah.","And Micah consecrated the Levite; and the young man became his priest, and was in the house of Micah.","And Michaias consecrated the Levite, and he became to him a priest, and he was in the house of Michaias.",0.877,0.728
Exodus 1:3,Exodus,1,3,0,none,same_as_mt_differs_from_brenton,"Issachar, Zebulun, and Benjamin,","Issachar, Zebulun, and Benjamin,","Issachar, Zabulon, Benjamin,",1.000,0.852
Genesis 13:13,Genesis,13,13,0,none,different_from_both,Now the people in Sodom were wicked and sinful before God exceedingly.,But the men of Sodom were wicked and sinners before the LORD exceedingly.,"But the men of Sodom were evil, and exceedingly sinful before God.",0.780,0.632
Judges 9:39,Judges,9,39,0,none,different_from_both,And Gaal went out before the men of Shechem and fought against Abimelech.,"And Gaal went out before the men of Shechem, and fought with Abimelech.","And Gaal went forth before the men of Sychem, and set the battle in array against Abimelech.",0.950,0.802
1 Chronicles 11:40,1 Chronicles,11,40,0,none,same_as_mt_differs_from_brenton,"Ira the Ithrite, Gareb the Ithrite,","Ira the Ithrite, Gareb the Ithrite,","Ira the Jethrite, Gaber the Jethrite,",1.000,0.853
Exodus 2:9,Exodus,2,9,0,none,different_from_both,"And Pharaoh's daughter said to her, 'Keep this child for me and nurse him for me, and I will give you your wages.' So the woman took the child and nursed him.","And Pharaoh's daughter said unto her, Take this child away, and nurse it for me, and I will give you your wages. And the women took the child, and nursed it.","And the daughter of Pharao said to her, Take care of this child, and suckle it for me, and I will give thee the wages; and the woman took the child, and suckled it.",0.904,0.757
Deuteronomy 15:1,Deuteronomy,15,1,0,none,different_from_both,At the end of seven years you shall make a release.,At the end of every seven years you shall make a release.,Every seven years thou shalt make a release.,0.943,0.796
1 Kings 22:26,1 Kings,22,26,0,none,different_from_both,"And the king of Israel said, Take Micaiah and return him to Amon the ruler of the city and to Joash son of the king.","And the king of Israel said, Take Micaiah, and carry him back unto Amon the governor of the city, and to Joash the king's son;","And the king of Israel said, Take Michaias, and convey him away to Semer the keeper of the city;",0.851,0.705
1 Samuel 1:10,1 Samuel,1,10,0,none,different_from_both,"And she was bitter in soul and prayed to the Lord, and weeping she wept.","And she was in bitterness of soul, and prayed unto the LORD, and wept sore.","And she was very much grieved in spirit, and prayed to the Lord, and wept abundantly.",0.817,0.671
2 Kings 19:22,2 Kings,19,22,0,none,different_from_both,Whom did you reproach and blaspheme? Against whom did you raise your voice and lift your eyes on high? Against the Holy One of Israel.,"Whom have you reproached and blasphemed? and against whom have you exalted your voice, and lifted up yours eyes on high? even against the Holy One of Israel.","Whom hast thou reproached, and whom hast thou reviled? and against whom hast thou lifted up thy voice, and raised thine eyes on high? Is it against the Holy One of Israel?",0.859,0.714
Jeremiah 4:18,Jeremiah,4,18,0,none,different_from_both,"Your ways and your practices made these things for you. This your evil, because bitter, because it touched to your heart.","Your way and your doings have procured these things unto you; this is your wickedness, because it is bitter, because it reachs unto yours heart.","Thy ways and thy devices have brought these things upon thee; this is thy wickedness, for it is bitter, for it has reached to thy heart.",0.755,0.610
Joshua 15:58,Joshua,15,58,0,none,different_from_both,"Halhul and Bethzur and Gedor,","Halhul, Bethzur, and Gedor,","Ælua, and Bethsur, and Geddon,",0.923,0.778
Numbers 20:26,Numbers,20,26,0,none,different_from_both,"And strip Aaron of his robe and put it on Eleazar his son, and Aaron, being added, shall die there.","And strip Aaron of his garments, and put them upon Eleazar his son: and Aaron shall be gathered unto his people, and shall die there.","and take Aaron's apparel from off him, and put it on Eleazar his son: and let Aaron die there and be added to his people.",0.777,0.632
Ezekiel 35:14,Ezekiel,35,14,0,none,different_from_both,Thus says the Lord: In joy of whole earth I will make you desolation.,"Thus says the Lord GOD; When the whole earth rejoices, I will make you desolate.","Thus saith the Lord; When all the earth is rejoicing, I will make thee desert.",0.792,0.648
Leviticus 14:57,Leviticus,14,57,0,none,different_from_both,to explain the day when it is unclean and the day when it is clean. This is the law of skin-disease.,"To teach when it is unclean, and when it is clean: this is the law of leprosy.","and of declaring in what day it is unclean, and in what day it shall be purged: this is the law of the leprosy.",0.775,0.631
Numbers 11:23,Numbers,11,23,0,none,different_from_both,"And the Lord said to Moses, Is the Lord's hand not enough? Now you shall know whether my word will overtake you or not.","And the LORD said unto Moses, Is the LORD's hand waxed short? you shall see now whether my word shall come to pass unto you or not.","And the Lord said to Moses, Shall not the hand of the Lord be fully sufficient? now shalt thou know whether my word shall come to pass to thee or not.",0.793,0.649
Haggai 2:8,Haggai,2,8,0,none,different_from_both,"Silver is mine, and gold is mine, says the Lord Almighty.","The silver is mine, and the gold is mine, says the LORD of hosts.","Mine is the silver, and mine the gold, saith the Lord Almighty.",0.828,0.684
2 Chronicles 21:5,2 Chronicles,21,5,0,none,different_from_both,"Jehoram was thirty-two years old when he became king, and eight years he reigned in Jerusalem.","Jehoram was thirty and two years old when he began to reign, and he reigned eight years in Jerusalem.","When he was thirty and two years old, Joram succeeded to his kingdom, and he reigned eight years in Jerusalem.",0.796,0.653
2 Kings 11:7,2 Kings,11,7,0,none,different_from_both,"And two divisions among you, all going out on the Sabbath, shall keep the watch of the house of the Lord for the king.","And two parts of all you that go forth on the sabbath, even they shall keep the watch of the house of the LORD about the king.","And there shall be two parties among you, even every one that goes out on the sabbath, and they shall keep the guard of the Lord's house before the king.",0.795,0.652
